set,id,name,grade,clan,type,rarity
BT01,1,"King of Knights, Alfred",3,Royal Paladin,Normal Unit,RRR
BT01,2,Blaster Blade,2,Royal Paladin,Normal Unit,RRR
BT01,3,Barcgal,0,Royal Paladin,Normal Unit,RRR
BT01,4,Dragonic Overlord,3,Kagero,Normal Unit,RRR
BT01,5,"Embodiment of Victory, Aleph",3,Kagero,Normal Unit,RRR
BT01,6,CEO Amaterasu,3,Oracle Think Tank,Normal Unit,RRR
BT01,7,"Battle Sister, Cocoa",1,Oracle Think Tank,Normal Unit,RRR
BT01,8,Asura Kaiser,3,Nova Grappler,Normal Unit,RRR
BT01,9,"Demon Slaying Knight, Lohengrin",3,Royal Paladin,Normal Unit,RR
BT01,10,"Solitary Knight, Gancelot",3,Royal Paladin,Normal Unit,RR
BT01,11,"Flash Shield, Iseult",1,Royal Paladin,Normal Unit,RR
BT01,12,"Future Knight, Llew",0,Royal Paladin,Critical Trigger,RR
BT01,13,Vortex Dragon,3,Kagero,Normal Unit,RR
BT01,14,"Dragon Knight, Aleph",2,Kagero,Normal Unit,RR
BT01,15,"Wyvern Guard, Barri",1,Kagero,Normal Unit,RR
BT01,16,"Lizard Soldier, Conroe",0,Kagero,Normal Unit,RR
BT01,17,Maiden of Libra,2,Oracle Think Tank,Normal Unit,RR
BT01,18,"Battle Sister, Mocha",2,Oracle Think Tank,Normal Unit,RR
BT01,19,"Battle Sister, Chocolat",1,Oracle Think Tank,Normal Unit,RR
BT01,20,Juggernaut Maximum,3,Spike Brothers,Normal Unit,RR
BT01,21,"Knight of Silence, Gallatin",2,Royal Paladin,Normal Unit,R
BT01,22,"Dragon Knight, Nehalem",2,Kagero,Normal Unit,R
BT01,23,"Wyvern Strike, Tejas",2,Kagero,Normal Unit,R
BT01,24,"Embodiment of Spear, Tahr",0,Kagero,Critical Trigger,R
BT01,25,"Oracle Guardian, Apollon",3,Oracle Think Tank,Normal Unit,R
BT01,26,"Oracle Guardian, Wiseman",2,Oracle Think Tank,Normal Unit,R
BT01,27,Lozenge Magus,0,Oracle Think Tank,Heal Trigger,R
BT01,28,Mr. Invincible,3,Nova Grappler,Normal Unit,R
BT01,29,Brutal Jack,2,Nova Grappler,Normal Unit,R
BT01,30,King of Sword,2,Nova Grappler,Normal Unit,R
BT01,31,Queen of Heart,1,Nova Grappler,Normal Unit,R
BT01,32,Battleraizer,0,Nova Grappler,Stand Trigger,R
