set,id,name,grade,clan,type,rarity
BT04,001,"Phantom Blaster Dragon",3,Shadow Paladin,Normal Unit,RRR
BT04,002,"Darkness Maiden, Macha",2,Shadow Paladin,Normal Unit,RRR
BT04,003,"Skull Witch, Nemain",2,Shadow Paladin,Normal Unit,RRR
BT04,004,"Enigman Storm",3,Dimension Police,Normal Unit,RRR
BT04,005,"Evil Armor General, Giraffa",3,Megacolony,Normal Unit,RRR
BT04,006,"Amber Dragon, Eclipse",3,Kagero,Normal Unit,RRR
BT04,007,"Heatnail Salamander",1,Kagero,Normal Unit,RRR
BT04,008,"Stern Blaukluger",3,Nova Grappler,Normal Unit,RRR
BT04,009,"Dark Metal Dragon",3,Shadow Paladin,Normal Unit,RR
BT04,010,"Gururubau",1,Shadow Paladin,Normal Unit,RR
BT04,011,"Dark Shield, Mac Lir",1,Shadow Paladin,Normal Unit,RR
BT04,012,"Enigman Wave",2,Dimension Police,Normal Unit,RR
BT04,013,"Cosmo Beak",2,Dimension Police,Normal Unit,RR
BT04,014,"Diamond Ace",1,Dimension Police,Normal Unit,RR
BT04,015,"Commander Laurel",1,Dimension Police,Normal Unit,RR
BT04,016,"Elite Mutant, Giraffa",2,Megacolony,Normal Unit,RR
BT04,017,"Paralyze Madonna",1,Megacolony,Normal Unit,RR
BT04,018,"Amber Dragon, Dusk",2,Kagero,Normal Unit,RR
BT04,019,"Blaukluger",2,Nova Grappler,Normal Unit,RR
BT04,020,"Fang of Light, Garmore",3,Royal Paladin,Normal Unit,RR
BT04,021,"Silver Spear Demon, Gusion",3,Shadow Paladin,Normal Unit,R
BT04,022,"Dark Mage, Badhabh Caar",3,Shadow Paladin,Normal Unit,R
BT04,023,"Knight of Darkness, Rugos",2,Shadow Paladin,Normal Unit,R
BT04,024,"Blaster Dark",2,Shadow Paladin,Normal Unit,R
BT04,025,"Fullbau",0,Shadow Paladin,Normal Unit,R
BT04,026,"Enigman Rain",3,Dimension Police,Normal Unit,R
BT04,027,"Twin Order",2,Dimension Police,Normal Unit,R
BT04,028,"Platinum Ace",2,Dimension Police,Normal Unit,R
BT04,029,"Cosmo Roar",1,Dimension Police,Normal Unit,R
BT04,030,"Enigman Flow",0,Dimension Police,Normal Unit,R
BT04,031,"Death Warden Ant Lion",3,Megacolony,Normal Unit,R
BT04,032,"Violent Vesper",3,Megacolony,Normal Unit,R
BT04,033,"Water Gang",2,Megacolony,Normal Unit,R
BT04,034,"Gloom Flyman",1,Megacolony,Normal Unit,R
BT04,035,"Larva Mutant, Giraffa",0,Megacolony,Normal Unit,R
BT04,036,"Lizard Soldier, Raopia",1,Kagero,Normal Unit,R
